DRN8	DRN0	PRN8	PRN0	DTU	PTU
			PTPRJ		
			GPKOW		
			DGCR14		
			LOC100129952		
			CCL11		
			LOC100132521		
			SRCRB4D		
			TMX1		
			LOC285141		
			USP9X		
			LOC654010		
			PKNOX2		
			RTN1		
			RRBP1		
			RELB		
			LOC100129726		
			LOC653980		
			TDRD5		
			LOC650938		
			LOC728969		
			TMEM213		
			ALX3		
			LOC93463		
			LOC730176		
			LOC652860		
			KLF11		
			RNF181		
			AKAP9		
			ZFYVE26		
			LOC729768		
			LRRC49		
			LOC643341		
			C16orf79		
			C1orf213		
			ERCC-00058		
			RRP12		
			LOC652082		
			GBA2		
			MMP25		
			LOC727879		
			LOC100127920		
			ARHGEF1		
			LSMD1		
			RPL7L1		
			C1orf127		
			LOC100134773		
			ROPN1B		
			PRAMEF14		
			SLC19A2		
			PCDHB16		
			LOC728847		
			DHX8		
			LMAN2L		
			TCP11L2		
			LOC651777		
			FRY		
			LOC644415		
			LOC642592		
			MSI1		
			LOC400858		
			ARHGEF12		
			LOC728352		
			C14orf64		
			LOC646127		
			RPA2		
			ZNRF1		
			IL11		
			LOC100133517		
			TARS2		
			PPM1M		
			PDK1		
			VAMP2		
			TRIM39		
			GFER		
			HEXDC		
			TNIK		
			CDKN2B		
			STK38L		
			SNORD42A		
			LOC643755		
			LOC554226		
			KRT40		
			LOC650062		
			HRH3		
			ABCD2		
			LAG3		
			DCBLD2		
			ZNF337		
			NLRC4		
			LOC646531		
			ARSB		
			WASF1		
			PDE4A		
			LOC643452		
			EEPD1		
			DHX9		
			MUM1		
			GDAP1L1		
			MAP7D1		
			MTRF1		
			LOC651197		
			SLC5A9		
			LOC123876		
			AFMID		
			WBP11P1		
			MAP6D1		
			SLAMF8		
			FAM175B		
			CD1B		
			JAK3		
			MTP18		
			LOC729041		
			C9orf127		
			KIAA1210		
			LOC100133519		
			EGLN2		
			LOC643807		
			MXD4		
			KLHL32		
			IMP4		
			LOC374443		
			CRLS1		
			NOP10		
			ULBP3		
			XRCC4		
			SAA2		
			SCARNA9		
			LOC653489		
			SLC34A1		
			LOC647819		
			C10orf140		
			SF3A2		
			PSMD9		
			LOC100131250		
			YIPF2		
			RIMS4		
			OR2B2		
			LOC728709		
			ARF1		
			LOC728990		
			LRRC20		
			C21orf2		
			WIPI2		
			LOC645785		
			SNORD79		
			C6orf81		
			LOC645551		
			GLB1L2		
			FER1L4		
			C1orf84		
			SNX24		
			MIR1471		
			LOC648699		
			RASGRP2		
			SPAG1		
			HAP1		
			CMBL		
			LOC100132620		
			LOC100132051		
			MIR944		
			KCTD17		
			LOC100130363		
			ATF6		
			USH2A		
			GRAMD1A		
			ITIH2		
			ZNF16		
			AGA		
			FAH		
			ADCY6		
			LDLR		
			SBF1		
			BLZF1		
			OTOR		
			LOC652833		
			LOC401677		
			TTC15		
			CALCOCO2		
			DPEP3		
			GPR89C		
			RBM		
			SLC33A1		
			C4orf32		
			DHRS4L1		
			MRPS18A		
			ENDOG		
			SLC4A1AP		
			SHC1		
			IL9R		
			BRMS1		
			LOC729526		
			ODF2L		
			LOC399746		
			CFC1		
			CAPN12		
			LOC652757		
			MIR1253		
			SLC25A42		
			LOC645048		
			ATP6V0D2		
			CDS1		
			LOC645739		
			C7orf47		
			LOC643529		
			LOC732371		
			MIR508		
			SSX2		
			TNXB		
			RRAGB		
			MLPH		
			UBE2L3		
			LOC100129543		
			FLJ22447		
			C1orf95		
			C10orf131		
			MCEE		
			FUT7		
			LOC648454		
			KRTAP22-1		
			ABCD3		
			COMMD5		
			ISOC2		
			ATHL1		
			ODF3		
			EHBP1		
			ENSA		
			PABPC1L		
			LOC100132238		
			LOC643331		
			LOC283432		
			DGAT2		
			ATRN		
			FSTL3		
			KLF17		
			MAGEB16		
			LOC644884		
			NUDT16		
			ARHGEF5		
			ZBTB8A		
			CORO1B		
			C19orf12		
			CNKSR3		
			NRAP		
			LOC649632		
			GOLGA4		
			IL19		
			GAL3ST3		
			LOC389405		
			MYCN		
			ACAD9		
			G6PC3		
			EPC1		
			UBE4B		
			FAM133A		
			LOC731969		
			LOC653157		
			FAM71C		
			REEP1		
			DEPDC1B		
			LOC388444		
			MIR892B		
			TCEB3		
			RASGRF1		
			OR6C70		
			NPY6R		
			MID2		
			LOC440337		
			LOC100132893		
			TRIP11		
			ARHGEF7		
			LOC650526		
			BRMS1L		
			KLF8		
			EFNA3		
			PNPLA2		
			INHBB		
			ANKRD35		
			MON1B		
			NPAS1		
			C2orf68		
			ARIH1		
			NPR3		
			CHRNA2		
			LOC653483		
			LRRN4CL		
			LOC651659		
			TMCO3		
			TRAPPC1		
			TOM1		
			LGALS13		
			TFPI2		
			SCARNA4		
			FKSG30		
			SHD		
			LOC100128737		
			LOC650003		
			DAZ4		
			LOC401351		
			AP1S3		
			ABHD12B		
			HCRTR2		
			LOC339804		
			MFNG		
			LOC151457		
			LOC649404		
			RBKS		
			CAPS		
			C11orf80		
			ERCC-00013		
			LOC653562		
			TTTY3		
			COL29A1		
			LOC654128		
			ROM1		
			GLCE		
			HS3ST6		
			E4F1		
			LOC440368		
			OR8A1		
			LOC641983		
			PPP4R1L		
			OSBPL7		
			NEBL		
			MRPL13		
			C8orf15		
			CANX		
			ZBTB4		
			ZNF480		
			RETSAT		
			GCM2		
			SNORA15		
			TYSND1		
			LOC642425		
			PSMB6		
			FLJ46010		
			FAM22C		
			LOC100131391		
			C3orf22		
			LOC440080		
			LOC650841		
			CA8		
			LOC646533		
			POLA1		
			SEMA4F		
			KRT77		
			FOXR2		
			HLA-DPB1		
			IDH2		
			KALRN		
			ISCA2		
			DHTKD1		
			LOC653722		
			HIST1H1B		
			TGM7		
			OR51F1		
			LOC100128093		
			LOC643435		
			CNOT10		
			VISA		
			LOC644310		
			NUP155		
			ZNF615		
			LOC653297		
			TRIM52		
			VNN2		
			LOC100130769		
			SNHG10		
			LOC653701		
			DUX3		
			LOC650363		
			TTC1		
			SNORA71D		
			LOC642109		
			CLDN3		
			ENAM		
			ACACB		
			VSX1		
			FLJ34969		
			LELP1		
			IDO2		
			OPN1MW2		
			GALE		
			LOC648289		
			TMOD3		
			TSR2		
			PTGER1		
			UGT2B11		
			LOC643461		
			IFNA8		
			LOC653526		
			LOC402269		
			TDRD9		
			FAM189B		
			TRMU		
			LOC728324		
			C20orf175		
			LOC730275		
			VNN3		
			LOC646932		
			SLC22A15		
			TYK2		
			SLC43A2		
			GALT		
			LOC100130131		
			PXT1		
			LOC645590		
			FAM71D		
			HERC2		
			ICT1		
			SUPV3L1		
			ARFGAP1		
			IFLTD1		
			CYCS		
			PASK		
			LOC646936		
			LOC729517		
			APOA4		
			TMEM88		
			INTS10		
			USH1G		
			KIAA1715		
			BRP44		
			WFDC9		
			MIR1302-6		
			TEC		
			LOC652677		
			FLJ45244		
			LOC441114		
			FRMD4A		
			HIVEP1		
			LOC642255		
			CACNG5		
			SFXN5		
			SNORA25		
			C11orf67		
			TFPT		
			MAP3K12		
			MYO7A		
			AGBL2		
			GALNT7		
			MBD6		
			ANAPC4		
			ASS1		
			FGGY		
			LOC643933		
			LOC100128899		
			AIRE		
			LOC441554		
			C9orf57		
			LOC649957		
			LOC392335		
			C4orf51		
			ERCC-00099		
			LOC729272		
			LOC644132		
			LOC389852		
			SERPINB1		
			PUS3		
			LOC100131046		
			GAGE5		
			FANCF		
			NEUROD4		
			MGC45800		
			SLC16A1		
			CCDC48		
			TDRG1		
			LOC652259		
			C14orf169		
			FN1		
			FOXR1		
			DIRAS3		
			CXCL3		
			LARP1		
			CUTL1		
			FAM13AOS		
			LOC100129361		
			INTS3		
			FAM73B		
			SNAPC4		
			LOC649977		
			LOC100129716		
			VTN		
			SPAG7		
			LOC100131810		
			GLTPD2		
			LOC100129665		
			LOC100132826		
			FRG2		
			LOC647243		
			NCALD		
			LOC644763		
			BEST2		
			LRRC66		
			MIR324		
			CCNDBP1		
			MELK		
			GABRR3		
			PQBP1		
			SPATA19		
			ZNF610		
			LOC647212		
			LOC92249		
			PTDSS2		
			JUN		
			SNED1		
			TSPAN33		
			CDAN1		
			C9orf16		
			LOC650458		
			LOC649374		
			C18orf54		
			LOC646256		
			MIR544		
			LOC646044		
			MED18		
			LOC100133409		
			TIGIT		
			LOC654032		
			NLRP13		
			LOC643310		
			SLC39A11		
			LOC100132474		
			PSTPIP1		
			LOC731283		
			LOC729369		
			CYLN2		
			GTF2F2		
			C16orf53		
			C10orf53		
			KIF3B		
			CRSP6		
			FLJ27365		
			TMEM175		
			C10orf27		
			MED31		
			ASTL		
			LOC652469		
			SMG5		
			RDH5		
			GALNT9		
			SIPA1		
			FUT4		
			RAB32		
			CPE		
			C11orf41		
			GJB6		
			L3MBTL		
			LOC100130906		
			MTRR		
			C9orf117		
			ZHX3		
			MGC35440		
			C22orf28		
			LOC440776		
			NOSTRIN		
			ALOX5		
			RAB15		
			MUCDHL		
			PPP4R2		
			ARHGEF15		
			C9orf153		
			APOE		
			LOC100127884		
			FAM46D		
			LOC100134173		
			C8orf76		
			CYP2D7P1		
			GTPBP10		
			LOC651126		
			LOC645852		
			MRPL39		
			ZNF202		
			LOC644391		
			DUSP27		
			SLC18A1		
			LOC390483		
